Diagnosis,Specialist,DxGroup
ONE-TIME USE OF CONTRACEPTIVE PILL,Gynecologist,GynecologyOther
ONYCHOMYCOSIS (NAIL FUNGUS),Dermatologist,FungalInfections
ONYCHOTILLOMANIA,Psychiatrist,ObsessiveCompulsiveDisorder
OPEN-ANGLE GLAUCOMA,Ophthalmologist,Glaucoma
OPIOID DEPENDENCE,SubstanceUseDisorderSpecialist,SubstanceUseOther
OPIOID USE DISORDER,SubstanceUseDisorderSpecialist,SubstanceUseOther
OPIOID WITHDRAWAL,SubstanceUseDisorderSpecialist,SubstanceUseOther
OPIOID-INDUCED COGNITIVE IMPAIRMENT,SubstanceUseDisorderSpecialist,CognitiveImpairment
OPIOID-INDUCED CONSTIPATION,Gastroenterologist,Constipation
OPIOID-INDUCED HYPERALGESIA,SubstanceUseDisorderSpecialist,Painsyndrome
OPIOID-INDUCED MOOD DISORDER,SubstanceUseDisorderSpecialist,MoodDisorderOther
OPIOID-INDUCED SEDATION SYNDROME,SubstanceUseDisorderSpecialist,SubstanceUseOther
OPTIC MIGRAINE,Ophthalmologist,Migraine
OPTIC NERVE COMPRESSION,Neurologist,Neuropathy
ORAL ALLERGY SYNDROME (OAS),Allergist,AllergicReaction
ORAL BACTERIA OVERGROWTH,Dentist,OralInfections
ORAL BLEEDING DISORDER,Hematologist,HemophiliaAndBleedingDisorders
ORAL BURN,Otolaryngologist,Burn
ORAL CANDIDIASIS (ORAL THRUSH),InfectiousDiseaseSpecialist,FungalInfections
ORAL CANDIDIASIS (THRUSH),InfectiousDiseaseSpecialist,FungalInfections
ORAL CAVITY BLEEDING,Otolaryngologist,OtolaryngologyOther
ORAL CONTACT DERMATITIS,Dermatologist,ContactDermatitis
ORAL CONTRACEPTIVE SIDE EFFECTS,Gynecologist,AdverseReactionToMedication
ORAL FIXATION,Psychiatrist,PsychiatryOther
ORAL HEALTH ISSUE,Dentist,DentalDisordersOther
ORAL HEALTH ISSUES,Dentist,DentalDisordersOther
ORAL HEMATOMA,Otolaryngologist,OralLesions
ORAL HERPES (COLD SORES),Otolaryngologist,OralLesions
ORAL HERPES (HSV-1),Dermatologist,OralLesions
ORAL HPV INFECTION,InfectiousDiseaseSpecialist,STIs
ORAL IRRITATION,Otolaryngologist,Irritation_PhysicalContact
ORAL MUCOSAL LESION,Otolaryngologist,OralLesions
ORAL OR DENTAL INFECTION,Otolaryngologist,OralInfections
ORAL PIGMENTATION,Otolaryngologist,OralLesions
ORAL PIGMENTED NEVUS,Otolaryngologist,Nevus
ORAL SUBMUCOUS FIBROSIS,Otolaryngologist,OralLesions
ORAL SUBMUCOUS FIBROSIS (OSMF),Otolaryngologist,OralLesions
ORAL ULCERATION (CANKER SORE) WITH SECONDARY INFECTION,Otolaryngologist,OralLesions
ORBITAL CONTUSION,Ophthalmologist,BruiseorContusion
ORBITAL HEMATOMA,Ophthalmologist,BruiseorContusion
ORBITAL PSEUDOTUMOR,Ophthalmologist,OphthalmologyOther
ORCHITIS/OOPHORITIS,Urologist,UrologyMenOther
ORGASMIC DISORDER,Psychiatrist,SexualFunctionConditions
ORGASMIC HEADACHE,Neurologist,HeadacheOther
ORGASMIC SENSATION DURING MASTURBATION,Psychiatrist,PsychiatryOther
ORGASMIC TREMORS,Neurologist,MovementDisorderOther
OROANTRAL FISTULA,Otolaryngologist,OtolaryngologyOther
ORTHODONTIC WIRE IRRITATION,Dentist,Irritation_PhysicalContact
ORTHODONTIC-RELATED DISCOMFORT,Dentist,Painsyndrome
ORTHOSTATIC HYPOTENSION (OH),CardiovascularSpecialist,Hypotension
ORTHOSTATIC PROTEINURIA,RenalSpecialist,Glomerulonephritis
OSGOOD SCHLATTER'S DISEASE,Orthopedist,OsgoodSchlatterDisease
OSSEOINTEGRATION FAILURE,Dentist,DentalDisordersOther
OSTEOARTHRITIS OF THE LEFT HAND,Orthopedist,Osteoarthritis
OSTEOARTHRITIS OF THE TEMPOROMANDIBULAR JOINT,Dentist,TemporomandibularJointDisorders
OSTEOARTHRITIS OF THE TEMPOROMANDIBULAR JOINT (TMJ),Dentist,TemporomandibularJointDisorders
OSTEOARTHRITIS OF THE THUMB,Orthopedist,Osteoarthritis
OSTEOCHONDRAL INJURY,Orthopedist,OrthopedicConditionsOther
OSTEOCHONDRAL LESION OF THE TALUS,Orthopedist,OrthopedicConditionsOther
OSTEOCHONDRITIS DISSECANS,Orthopedist,OrthopedicConditionsOther
OSTEOGENESIS IMPERFECTA (OI),Orthopedist,Fractures
OSTEOPETROSIS,Orthopedist,Osteoporosis
OSTEOPHYTE COMPLEX,Orthopedist,Osteoarthritis
OSTEOPHYTE FORMATION,Orthopedist,Osteoarthritis
OSTEOPOROSIS-RELATED FRACTURE,Orthopedist,Fractures
OSTEOPOROTIC COMPRESSION FRACTURE,Orthopedist,Fractures
OSTEOPOROTIC VERTEBRAL COMPRESSION FRACTURE,Orthopedist,Fractures
OSTEOPOROTIC VERTEBRAL FRACTURE,Orthopedist,Fractures
OTHER ALLERGIC REACTION,Allergist,AllergicReaction
OTHER ALLERGIES OR IRRITANTS,Allergist,AllergicReaction
OTHER AUTOINFLAMMATORY DISORDERS,Rheumatologist,RheumatologyOther
OTHER BACTERIAL OR FUNGAL INFECTION,InfectiousDiseaseSpecialist,InfectiousDiseasesOther
OTHER CARDIAC ARRHYTHMIAS,CardiovascularSpecialist,Arrhythmias
OTHER CARDIAC CONDITION,CardiovascularSpecialist,CardiovascularOther
OTHER CARDIAC CONDITIONS,CardiovascularSpecialist,CardiovascularOther
OTHER CARDIAC OR PULMONARY CONDITIONS,CardiovascularSpecialist,CardiovascularOther
OTHER CAUSES OF DELAYED MENSTRUATION,Gynecologist,Menstrual Conditions
OTHER CAUSES OF MISSED PERIOD,Gynecologist,Menstrual Conditions
OTHER CAUSES OF RECURRENT FEVER,InfectiousDiseaseSpecialist,InfectiousDiseasesOther
OTHER CAUSES OF STROKE,Neurologist,Stroke
OTHER CHROMOSOMAL ABNORMALITIES,Generalist,Generalist
OTHER DERMATOLOGICAL CONDITION,Dermatologist,DermatologyConditionsOther
OTHER DIETARY FACTORS,Gastroenterologist,GastroenterologyOther
OTHER ENVIRONMENTAL ALLERGENS,Dermatologist,DermatologicalAllergies
OTHER FACTORS AFFECTING MENSTRUAL CYCLE,Gynecologist,Menstrual Conditions
OTHER FOOD ALLERGY,Allergist,AllergicReaction
OTHER GASTROINTESTINAL DISORDER,Gastroenterologist,GastrointestinalDistressSx
OTHER INFLAMMATORY CONDITION,Rheumatologist,RheumatologyOther
OTHER INSECT BITES,Dermatologist,Insect_StingorBiteorReaction
OTHER INTESTINAL PARASITE INFECTION,InfectiousDiseaseSpecialist,ParasiticInfections
OTHER LIVER DISEASES OR CONDITIONS,Gastroenterologist,NonAlcoholicFattyLiverDisease
OTHER MEDICAL CONDITION,Generalist,Generalist
OTHER MEDICAL CONDITIONS,Generalist,Generalist
OTHER MEDICATION OR SUPPLEMENT INTERACTION,Generalist,AdverseReactionToAnotherSubstance
OTHER MEDICATION OR SUPPLEMENT INTERACTIONS,Generalist,AdverseReactionToAnotherSubstance
OTHER MEDICATION-RELATED SIDE EFFECTS,Generalist,AdverseReactionToMedication
OTHER NON-ALLERGIC REACTION,Generalist,Generalist
OTHER NON-PREGNANCY RELATED CAUSES,Generalist,Generalist
OTHER ORAL CONDITIONS,Otolaryngologist,OralLesions
OTHER PSYCHOLOGICAL FACTORS,Generalist,Generalist
OTHER RESPIRATORY INFECTIONS,Pulmonologist,RespiratoryTractInfections
OTHER SEXUAL TRANSMITTED INFECTION,InfectiousDiseaseSpecialist,STIs
OTHER SKIN CONDITION,Dermatologist,DermatologyConditionsOther
OTHER SKIN CONDITIONS,Dermatologist,DermatologyConditionsOther
OTHER UNDERLYING CONDITION,Generalist,Generalist
OTHER UNDERLYING GYNECOLOGICAL CONDITION,Gynecologist,GynecologyOther
OTHER UNDERLYING HEALTH ISSUE,Generalist,Generalist
OTHER VIRAL OR BACTERIAL INFECTIONS,InfectiousDiseaseSpecialist,InfectiousDiseasesOther
OTITIS EXTERNA (OUTER EAR INFECTION),Otolaryngologist,EarInfections
OTITIS MEDIA (EAR INFECTION),Otolaryngologist,OtitisMedia
OTOMANDIBULAR SYNDROME,Otolaryngologist,TemporomandibularJointDisorders
OTOMYCOSIS,Otolaryngologist,EarInfections
OVARIAN CYST TORSION,Gynecologist,OvarianCysts
OVARIAN CYST:,Gynecologist,OvarianCysts
OVARIAN HYPERSTIMULATION SYNDROME,Gynecologist,GynecologyOther
OVARIAN TUMOR,Gynecologist,OvaryConditions
OVARIAN TUMOR CANCER,Gynecologist,Cancer_other
OVERACTIVE GAG REFLEX,Otolaryngologist,OtolaryngologyOther
OVERBRUSHING,Dentist,DentalDisordersOther
OVERDOSE OF ADHD MEDICATION,Psychiatrist,AdverseReactionToMedication
OVERDOSE OF BLOOD PRESSURE MEDICATION,CardiovascularSpecialist,AdverseReactionToMedication
OVERDOSE OF COMBIFLAM,AdverseReactionSpecialist,AdverseReactionToMedication
OVERDOSE OF MEDICATION,AdverseReactionSpecialist,AdverseReactionToMedication
OVERDOSE OR TOXICITY,AdverseReactionSpecialist,AdverseReactionToAnotherSubstance
OVEREATING AND DISTURBED SLEEP,Psychiatrist,InsomniaAndOtherSleepDisorders
OVEREATING AND WEIGHT GAIN,Endocrinologist,EatingDisorders
OVEREXERTION AND DEHYDRATION,Generalist,Generalist
OVERHYDRATION,Generalist,Generalist
OVERJET,Dentist,Malocclusion
OVERLAPPING TOES,Orthopedist,OrthopedicConditionsOther
OVERSTIMULATION FROM MASTURBATION,Psychiatrist,PsychiatryOther
OVERTHINKING AND EMOTIONAL SUPPRESSION,Psychiatrist,MoodDisorderOther
OVERTRAINING,Orthopedist,SprainsAndStrains
OVULATION DISORDER,Gynecologist,GynecologyOther
OVULATION DISORDERS,Gynecologist,GynecologyOther
OVULATION DYSFUNCTION,Gynecologist,GynecologyOther
OVULATION ISSUES,Gynecologist,PolycysticOvarySyndrome
OVULATION PAIN (MITTELSCHMERZ),Gynecologist,PelvicPain
OVULATION SPOTTING,Gynecologist,AbnormalUterineBleeding
OVULATION-RELATED CHANGES,Gynecologist,GynecologyOther
OVULATION:,Gynecologist,GynecologyOther
OXYGEN EMBOLISM,Pulmonologist,PulmonologyOther
PAGET'S DISEASE,Orthopedist,OrthopedicConditionsOther
PAIN AND DISCOMFORT,Generalist,Painsyndrome
PAIN IN THE FEET AFTER WEARING HEELS,Orthopedist,Painsyndrome
PALATAL PAPILLOMATOSIS,Otolaryngologist,OralLesions
PALMAR FASCIITIS AND POLYARTHRITIS SYNDROME,Rheumatologist,RheumatologyOther
PALMOPLANTAR KERATODERMA,Dermatologist,DermatologyConditionsOther
PALMOPLANTAR PUSTULOSIS,Dermatologist,DermatologyConditionsOther
PALPITATIONS,CardiovascularSpecialist,Arrhythmias
PANCOAST TUMOR,Pulmonologist,Cancer_Other
PANCREATIC ABSCESS,Gastroenterologist,GastrointestinalInfections
PANCREATIC ADENOCARCINOMA,Gastroenterologist,Cancer_GIother
"PANCREATIC CANCER: PANCREATIC CANCER CAN CAUSE ABDOMINAL PAIN, WEIGHT LOSS, FATIGUE, AND CHANGES IN URINE AND STOOL COLOR.",Gastroenterologist,Cancer_GIother
PANCREATIC CYSTS,Gastroenterologist,PancreasDisorders
PANCREATIC DISEASE,Gastroenterologist,PancreasDisorders
PANCREATIC NECROSIS,Gastroenterologist,PancreasDisorders
PANCREATITIS (ACUTE OR CHRONIC),Gastroenterologist,Pancreatitis
PANHYPOPITUITARISM,Endocrinologist,PituitaryGlandDisorders
PANIC ATTACKS,Psychiatrist,AnxietyDisorders
PANIC DISORDER WITH DISSOCIATIVE SYMPTOMS,Psychiatrist,AnxietyDisorders
PANIC DISORDER WITH HEART PALPITATIONS,CardiovascularSpecialist,AnxietyDisorders
PANTOPRAZOLE SIDE EFFECT,Gastroenterologist,AdverseReactionToMedication
PAPULAR URTICARIA,Dermatologist,Hives
PARACETAMOL OVERDOSE,Generalist,AdverseReactionToMedication
PARACETAMOL SIDE EFFECTS,Generalist,AdverseReactionToMedication
PARAINFLUENZA,InfectiousDiseaseSpecialist,RespiratoryTractInfections
PARAMOLAR HYPERDONTIA,Dentist,DentalDisordersOther
PARAMYOTONIA CONGENITA,Neurologist,BirthDefect
PARANEOPLASTIC SYNDROME,Neurologist,NeurologyConditionsOther
PARANOID PERSONALITY DISORDER (PPD),Psychiatrist,PersonalityDisordersOther
PARAPHILIC INFANTILISM,Psychiatrist,PsychiatryOther
PARKINSON'S DISEASE-RELATED RESPIRATORY DYSFUNCTION,Pulmonologist,ParkinsonsDisease
PAROTID GLAND SWELLING,Otolaryngologist,SalivaryGlandDisorders
PAROTID TUMOR,Otolaryngologist,SalivaryGlandDisorders
PAROTITIS (MUMPS),InfectiousDiseaseSpecialist,InfectiousDiseasesOther
PAROTITIS (SALIVARY GLAND INFECTION),InfectiousDiseaseSpecialist,SalivaryGlandDisorders
PARTIAL TEAR OF THE ANTERIOR CRUCIATE LIGAMENT (ACL),Orthopedist,ACLInjuries
PARVOVIRUS B19 (HUMAN PARVOVIRUS B19),InfectiousDiseaseSpecialist,InfectiousDiseasesOther
PATELLAR FRACTURE,Orthopedist,Fractures
PATELLOFEMORAL SYNDROME,Orthopedist,PatellofemoralPainSyndrome
PATERNITY UNCERTAINTY,Generalist,Generalist
PATHOLOGICAL PHIMOSIS,Urologist,UrologyMenOther
PCOD,Gynecologist,PolycysticOvarySyndrome
PCOS,Gynecologist,PolycysticOvarySyndrome
PCOS-RELATED SYMPTOMS,Gynecologist,PolycysticOvarySyndrome
PECTORAL MUSCLE IMBALANCE,Orthopedist,OrthopedicConditionsOther
PECTORAL MUSCLE SPASM,Orthopedist,SprainsAndStrains
PECTORAL MUSCLE TEAR,Orthopedist,SprainsAndStrains
PECTORALIS MAJOR STRAIN,Orthopedist,SprainsAndStrains
PECTORALIS MAJOR TEAR,Orthopedist,SprainsAndStrains
PECTUS CARINATUM,Orthopedist,OrthopedicConditionsOther
PECTUS EXCAVATUM-RELATED DISCOMFORT,Orthopedist,OrthopedicConditionsOther
PECTUS EXCAVATUM-RELATED SYMPTOMS,Orthopedist,OrthopedicConditionsOther
PEDICULOSIS (HEAD LICE),Dermatologist,Infestations
PEDICULOSIS PUBIS (PUBIC LICE),Dermatologist,SkinInfections
PEER PRESSURE INFLUENCE,Psychiatrist,PsychiatryOther
PELVIC ENDOMETRIOSIS,Gynecologist,Endometriosis
PELVIC FLOOR MUSCLE TENSION,Gynecologist,PelvicPain
PELVIC FRACTURE,Orthopedist,Fractures
PELVIC JOINT INSTABILITY,Orthopedist,SprainsAndStrains
PELVIC LIGAMENT SPRAIN,Orthopedist,SprainsAndStrains
PELVIC MISALIGNMENT,Orthopedist,OrthopedicConditionsOther
PELVIC MUSCLE STRAIN,Orthopedist,SprainsAndStrains
PELVIC ORGAN PROLAPSE (POP),Gynecologist,GynecologyOther
PELVIC PRESSURE,Gynecologist,PelvicPain
PELVIC STRESS FRACTURE,Orthopedist,Fractures
PELVIC TRAUMA,Orthopedist,OrthopedicConditionsOther
PELVOCALYCEAL FULLNESS,Urologist,UrologyOther
PEMPHIGUS FOLIACEUS,Dermatologist,DermatologyConditionsOther
PENETRATING INJURY,Generalist,Generalist
PENILE ABRASION,Dermatologist,BruiseorContusion
PENILE ATROPHY,Urologist,UrologyMenOther
PENILE BIOPSY COMPLICATIONS,Urologist,UrologyMenOther
PENILE CYST,Urologist,UrologyMenOther
PENILE DERMATITIS,Dermatologist,Dermatitis
PENILE FIBROMA,Urologist,Derm_Cyst_Lipoma
PENILE FIBROMATOSIS,Urologist,UrologyMenOther
PENILE LACERATION,Urologist,Laceration_Abrassion
PENILE LIGAMENT INJURY,Urologist,UrologyMenOther
PENILE MELANOMA,Dermatologist,SkinCancer
PENILE MELANOSIS,Dermatologist,SkinLesionNos
PENILE MONDOR'S DISEASE,Urologist,ThrombosisAndClottingDisorders
PENILE NERVE DAMAGE,Urologist,Neuropathy
PENILE NEUROPATHY,Urologist,Neuropathy
PENILE THROMBOSIS,Urologist,ThrombosisAndClottingDisorders
PENILE TORSION,Urologist,UrologyMenOther
PENILE TRAUMA OR INJURY,Urologist,UrologyMenOther
PENOSCROTAL FUSION,Urologist,UrologyMenOther
PENTAZOCINE DEPENDENCE,SubstanceUseDisorderSpecialist,SubstanceUseOther
PEPTIC GASTRIC ULCER,Gastroenterologist,PepticUlcers
PERFECTIONISM,Psychiatrist,PsychiatryOther
PERFECTIONISTIC PERSONALITY DISORDER (PPD),Psychiatrist,PersonalityDisordersOther
PERFORMANCE ANXIETY-INDUCED ERECTILE DYSFUNCTION,Urologist,ErectileDysfunction
PERIAPICAL CYST,Dentist,DentalDisordersOther
PERIAPICAL PERIODONTITIS,Dentist,PeriodontalDisease
PERIMENOPAUSE-RELATED SYMPTOMS,Gynecologist,Menopause
PERINEAL INFECTION,InfectiousDiseaseSpecialist,InfectiousDiseasesOther
PERINEAL IRRITATION,Dermatologist,Irritation_PhysicalContact
PERINEAL SWELLING DUE TO CONSTIPATION,Gastroenterologist,Hemorrhoids
PERINEAL TEARS,Gynecologist,Laceration_Abrassion
PERIODONTAL DISEASE (GUM DISEASE),Dentist,PeriodontalDisease
PERIPARTUM CARDIOMYOPATHY,CardiovascularSpecialist,Cardiomyopathy
PERIPHERAL NERVE INJURY,Neurologist,Neuropathy
PERIPHERAL NEUROPATHY (PN),Neurologist,Neuropathy
PEROXISOMAL DISORDER,Generalist,Generalist
PERSISTENT DEPRESSIVE DISORDER,Psychiatrist,Depression
PERSISTENT EARWORMS,Psychiatrist,EarInfections
PERSISTENT GENITAL AROUSAL DISORDER,Psychiatrist,SexualFunctionConditions
PERSISTENT GENITAL AROUSAL DISORDER (PGAD),Psychiatrist,SexualFunctionConditions
PERSISTENT HICCUPS,Gastroenterologist,GastroenterologyOther
PES PLANUS,Orthopedist,OrthopedicConditionsOther
PET ALLERGY,Allergist,AllergicReaction
PHANTOM LIMB PAIN,Neurologist,Painsyndrome
PHANTOM LIMB PAIN (PLP),Neurologist,Painsyndrome
PHANTOM LIMB SENSATION,Neurologist,Painsyndrome
PHANTOM LIMB SYNDROME,Neurologist,Painsyndrome
PHARYNGEAL POUCH,Otolaryngologist,OtolaryngologyOther
PHIMOSIS:,Urologist,UrologyMenOther
PHOBIA-RELATED DISORDER,Psychiatrist,Phobia
PHONE ACNE,Dermatologist,Acne
PHONE ANXIETY DISORDER,Psychiatrist,AnxietyDisorders
PHONE-RELATED ANXIETY,Psychiatrist,AnxietyDisorders
PHONOPHOBIA,Psychiatrist,Phobia
PHOSPHATURIA,RenalSpecialist,RenalOther
PHOSPHENE PHENOMENON,Ophthalmologist,OphthalmologyOther
PHOTOALLERGIC REACTION,Dermatologist,DermatologicalAllergies
PHOTOPSIA,Ophthalmologist,OphthalmologyOther
PHOTOSENSITIVITY DISORDERS,Dermatologist,DermatologyConditionsOther
PHYLLODES TUMOR,Generalist,Breast Conditions
PHYSIOLOGICAL ASYMMETRY,Orthopedist,OrthopedicConditionsOther
PHYSIOLOGICAL GENU VARUM,Orthopedist,Knee Conditions
PHYSIOLOGICAL GYNECOMASTIA,Endocrinologist,NormalFunction
PHYSIOLOGICAL NIPPLE DISCHARGE,Gynecologist,NormalFunction
PHYSIOLOGICAL VAGINAL WETNESS,Gynecologist,NormalFunction
PICKY EATING,Pediatrician,PediatricOther
PIEBALDISM,Dermatologist,DermatologyConditionsOther
PIERCING GRANULOMA,Dermatologist,SkinLesionNos
PIERCING INFECTION,Dermatologist,SkinInfections
PIEZOGENIC PEDAL PAPULES,Dermatologist,DermatologyConditionsOther
PIGMENTATION DISORDER,Dermatologist,DermPigmentedLesionOther
PIGMENTED NEVUS,Dermatologist,Nevus
PIGMENTED PURPURIC DERMATOSIS,Dermatologist,DermPigmentedLesionOther
PILAR CYST COMPLICATION,Dermatologist,Derm_Cyst_Lipoma
PILAR CYST RECURRENCE,Dermatologist,Derm_Cyst_Lipoma
PILL AVERSION,Psychiatrist,Phobia
PILONIDAL CYST RECURRENCE,Dermatologist,Derm_Cyst_Lipoma
PILONIDAL CYSTS,Dermatologist,Derm_Cyst_Lipoma
PIMPLE INFLAMMATION,Dermatologist,Acne
PIMPLE OR INGROWN HAIR,Dermatologist,Acne
PIN IMPINGEMENT,Orthopedist,OrthopedicConditionsOther
PIN MALALIGNMENT,Orthopedist,OrthopedicConditionsOther
PIN MIGRATION,Orthopedist,OrthopedicConditionsOther
PINCHED NERVE IN THE NECK,Orthopedist,Neuropathy
PINK EYE (CONJUNCTIVITIS),Ophthalmologist,Conjunctivitis
PINWORM INFECTION (ENTEROBIASIS),InfectiousDiseaseSpecialist,ParasiticInfections
PINWORM INFESTATION,InfectiousDiseaseSpecialist,ParasiticInfections
PISIFORM BONE FRACTURE,Orthopedist,Fractures
PISIFORM TENDINITIS,Orthopedist,Tendonitis
PISOTRIQUETRAL JOINT DYSFUNCTION,Orthopedist,OrthopedicConditionsOther
PISOTRIQUETRAL JOINT INJURY,Orthopedist,SprainsAndStrains
PITUITARY DYSFUNCTION,Endocrinologist,PituitaryGlandDisorders
PITUITARY GIGANTISM,Endocrinologist,PituitaryGlandDisorders
PITUITARY GLAND DYSFUNCTION,Endocrinologist,PituitaryGlandDisorders
PLAGUE,InfectiousDiseaseSpecialist,ZoonoticDiseases
PLANTAR WARTS (VERRUCAS),Dermatologist,Warts
PLASMACYTOMA,Hematologist,Lymphoma
PLASTER-RELATED DISCOMFORT,Orthopedist,OrthopedicConditionsOther
PLATELET DYSFUNCTION,Hematologist,HemophiliaAndBleedingDisorders
PLATELET FUNCTION DISORDER (PFD),Hematologist,HemophiliaAndBleedingDisorders
PLEOMORPHIC ADENOMA,Otolaryngologist,SalivaryGlandDisorders
PLEXIFORM NEUROFIBROMA,Neurologist,NeurologyConditionsOther
PLUGGED MILK DUCT,Gynecologist,Breast Conditions
PNEUMOCYSTIS PNEUMONIA (PCP),InfectiousDiseaseSpecialist,Pneumonia
PNEUMONIA:,Pulmonologist,Pneumonia
PNEUMONIC PLAGUE,InfectiousDiseaseSpecialist,ZoonoticDiseases
POCKMARKS,Dermatologist,Acne
POLARAMINE SIDE EFFECTS,AdverseReactionSpecialist,AdverseReactionToMedication
POLIO,InfectiousDiseaseSpecialist,InfectiousDiseasesOther
POLYARTERITIS NODOSA,Rheumatologist,Vasculitis
POLYCYSTIC LIVER DISEASE,Gastroenterologist,LiverConditons
POLYCYSTIC LIVER DISEASE (PLD),Gastroenterologist,LiverConditons
POLYCYSTIC OVARY SYNDROME (PCOS) EXACERBATION,Gynecologist,PolycysticOvarySyndrome
POLYCYSTIC OVARY SYNDROME (PCOS) RELATED PAIN,Gynecologist,PolycysticOvarySyndrome
POLYCYTHEMIA VERA (PCV),Hematologist,MyeloproliferativeDisorders
POLYDIPSIA (EXCESSIVE THIRST),Generalist,Generalist
POLYDIPSIA (EXCESSIVE THIRST) DUE TO OTHER CAUSES,Generalist,Generalist
POLYMASTIA,Gynecologist,Breast Conditions
POLYMORPHOUS LIGHT ERUPTION (PMLE),Dermatologist,Rash
POLYNEPHRITIS,RenalSpecialist,Glomerulonephritis
POLYPS ON THE VOCAL CORDS,Otolaryngologist,VoiceDisorders
POLYURIA-POLYDIPSIA SYNDROME,RenalSpecialist,RenalOther
POOR ARTICULATION DUE TO HEALING,Orthopedist,OrthopedicConditionsOther
POOR CROWN FIT,Dentist,DentalDisordersOther
POOR DIET AND NUTRITION,Generalist,Generalist
POOR DIET AND SEDENTARY LIFESTYLE,Generalist,Generalist
POOR DIET OR EATING HABITS,Generalist,Generalist
POOR DIET-RELATED SYMPTOMS,Generalist,Generalist
POOR DIETARY CHOICES,Generalist,Generalist
POOR HYGIENE OR SMEGMA BUILDUP,Urologist,UrologyMenOther
POOR HYGIENE OR SWEAT BUILDUP,Dermatologist,DermatologyConditionsOther
POOR HYGIENE PRACTICES,Generalist,Generalist
POOR LATCH OR IMPROPER BREASTFEEDING TECHNIQUE,Pediatrician,PediatricOther
POOR MUSCLE TONE,Orthopedist,OrthopedicConditionsOther
POOR NUTRITION,Generalist,Generalist
POOR POSTURE-RELATED PAIN,Orthopedist,Painsyndrome
POOR SLEEP HYGIENE,Psychiatrist,InsomniaAndOtherSleepDisorders
POOR SPERM MOTILITY,Urologist,UrologyMenOther
POOR SURGICAL WOUND CLOSURE,Generalist,Generalist
POOR WOUND CARE,Generalist,Generalist
POORLY CONTROLLED DIABETES,Endocrinologist,DiabetesMellitus
POORLY FITTING OSTOMY BAG,Generalist,Generalist
POPCORN LUNG,Pulmonologist,PulmonologyOther
POPLITEAL ARTERY ANEURYSM,CardiovascularSpecialist,PeripheralArteryDisease
POPLITEAL CYST,Orthopedist,OrthopedicConditionsOther
POPLITEAL TENDONITIS,Orthopedist,Tendonitis
POPLITEUS TENDINITIS,Orthopedist,Tendonitis
PORE CONGESTION,Dermatologist,Acne
PORE ENLARGEMENT,Dermatologist,Acne
PORENCEPHALIC CYST,Neurologist,NeurodegenerativeDisorders
PORNOGRAPHY ADDICTION-RELATED COGNITIVE IMPAIRMENT,Psychiatrist,PsychiatryOther
PORNOGRAPHY-INDUCED ERECTILE DYSFUNCTION,Urologist,ErectileDysfunction
PORT-A-CATH INFECTION,InfectiousDiseaseSpecialist,InfectiousDiseasesOther
PORTAL VEIN THROMBOSIS,Gastroenterologist,LiverConditons
POSITION OF THE BABY,Obstetrician,PregnancyConditions
POSITIONAL SNORING,Otolaryngologist,OtolaryngologyOther
POST NASAL DRIP,Otolaryngologist,Rhinitis
POST-ABORTION CHANGES,Gynecologist,GynecologyOther
POST-ABORTION DISCHARGE,Gynecologist,GynecologyOther
POST-ABORTION HORMONAL CHANGES,Gynecologist,GynecologyOther
POST-ABORTION SYMPTOMS,Gynecologist,GynecologyOther
POST-ACCIDENT TRAUMA,Psychiatrist,PostTraumaticStressDisorder
POST-ANOXIC ENCEPHALOPATHY,Neurologist,Encephalopathy
POST-APPENDECTOMY COMPLICATIONS,Generalist,Generalist
POST-AVR SURGERY RECOVERY,CardiovascularSpecialist,ValvularHeartDisease
POST-CESAREAN SECTION PAIN,Gynecologist,Painsyndrome
POST-CHICKENPOX RECOVERY,Dermatologist,SkinInfections
POST-CHIKUNGUNYA ARTHRALGIA,Rheumatologist,RheumatologyOther
POST-CHIKUNGUNYA ARTHRITIS,Rheumatologist,RheumatologyOther
POST-CIRCUMCISION COMPLICATIONS,Urologist,UrologyMenOther
POST-CIRCUMCISION DECREASED ORGASMIC SENSATION,Urologist,UrologyMenOther
POST-CIRCUMCISION DECREASED SENSITIVITY,Urologist,UrologyMenOther
POST-CIRCUMCISION DECREASED SENSITIVITY OF THE GLANS,Urologist,UrologyMenOther
POST-CIRCUMCISION GRANULOMA,Urologist,UrologyMenOther
POST-CIRCUMCISION PAIN,Urologist,Painsyndrome
POST-CIRCUMCISION PAIN SYNDROME,Urologist,Painsyndrome
POST-COITAL HEADACHE,Neurologist,HeadacheOther
POST-COITAL SYNDROME,Psychiatrist,SexualFunctionConditions
POST-CONCUSSION HEADACHE,Neurologist,TraumaticBrainInjury
POST-COVID COGNITIVE IMPAIRMENT,Neurologist,Post-COVID_complications
POST-COVID HEADACHE,Neurologist,Post-COVID_complications
POST-COVID PULMONARY COMPLICATIONS,Pulmonologist,Post-COVID_complications
POST-COVID RESPIRATORY SYMPTOMS,Pulmonologist,Post-COVID_complications
POST-COVID-19 PULMONARY COMPLICATIONS,Pulmonologist,Post-COVID_complications
POST-CRANIOTOMY HEADACHE,Neurologist,HeadacheOther
POST-DENGUE FATIGUE SYNDROME,InfectiousDiseaseSpecialist,VectorBorneDiseases
